Date,Close
7ŒŽ1“ú,42100
6ŒŽ24“ú,40560
6ŒŽ17“ú,40350
6ŒŽ10“ú,40400
6ŒŽ3“ú,41080
5ŒŽ27“ú,40210
5ŒŽ20“ú,40310
5ŒŽ13“ú,41010
5ŒŽ7“ú,40720
4ŒŽ30“ú,40820
4ŒŽ22“ú,41390
4ŒŽ15“ú,40520
4ŒŽ8“ú,42160
4ŒŽ1“ú,44160
3ŒŽ25“ú,47140
3ŒŽ18“ú,47410
3ŒŽ11“ú,44020
3ŒŽ4“ú,43430
2ŒŽ26“ú,44370
2ŒŽ19“ú,43270
2ŒŽ13“ú,42080
2ŒŽ5“ú,39710
1ŒŽ29“ú,38820
1ŒŽ22“ú,28870
1ŒŽ15“ú,38840
1ŒŽ9“ú,38940
1ŒŽ4“ú,34500
12ŒŽ25“ú,34990
12ŒŽ18“ú,35610
12ŒŽ11“ú,35580
12ŒŽ4“ú,35150
11ŒŽ27“ú,37100
11ŒŽ20“ú,37020
11ŒŽ13“ú,36700
11ŒŽ6“ú,35580
10ŒŽ30“ú,34180
10ŒŽ23“ú,33360
10ŒŽ16“ú,33840
10ŒŽ10“ú,35690
10ŒŽ2“ú,31550
9ŒŽ25“ú,32590
9ŒŽ19“ú,34020
9ŒŽ11“ú,35160
9ŒŽ4“ú,33720
8ŒŽ28“ú,33330
8ŒŽ21“ú,32570
8ŒŽ14“ú,32640
8ŒŽ7“ú,34500
7ŒŽ31“ú,34030
7ŒŽ24“ú,34870
7ŒŽ18“ú,33860
7ŒŽ10“ú,34710
7ŒŽ3“ú,34560